agent_id, n_trial, n_agents, iters, cost
2,None,3,1,128.9862591318935,
1,None,3,1,1191.974583258067,
0,None,3,1,1306.7897279518477,
1,None,3,2,1360.3782141380218,
0,None,3,2,1418.9696401906242,
2,None,3,2,219.22491497153578,
0,None,3,3,1515.3269595696433,
1,None,3,3,1511.8680063262202,
2,None,3,3,298.56472435118764,
0,None,3,4,1589.493415429309,
1,None,3,4,1629.4895438355206,
2,None,3,4,361.6650143799055,
1,None,3,5,1714.9282859978314,
0,None,3,5,1640.602935599447,
2,None,3,5,405.60018236116485,
1,None,3,6,1773.987557112806,
0,None,3,6,1675.3076309336234,
2,None,3,6,435.4443467793912,
1,None,3,7,1814.198729098891,
0,None,3,7,1698.6839619622433,
2,None,3,7,455.56681866349965,
1,None,3,8,1841.5635362173834,
0,None,3,8,1714.350012838424,
2,None,3,8,469.07686185048203,
1,None,3,9,1855.3378570585385,
0,None,3,9,1724.8155603180048,
2,None,3,9,478.12223791170896,
1,None,3,10,1867.7338211758529,
0,None,3,10,1731.7929649522705,
2,None,3,10,484.16782986682784,
1,None,3,11,1876.051742381344,
0,None,3,11,1736.4390505699978,
2,None,3,11,488.203313856459,
1,None,3,12,1881.6191767254818,
0,None,3,12,1739.530595079102,
2,None,3,12,490.89449652339454,
2,None,3,13,492.68835613770113,
0,None,3,13,1741.5868832873339,
1,None,3,13,1885.340391183856,
1,None,3,14,1887.8254984494001,
0,None,3,14,1742.9543112313058,
2,None,3,14,493.88376268082084,
0,None,3,15,1743.8635864707157,
1,None,3,15,1889.4839102921846,
2,None,3,15,494.6801416992039,
0,None,3,16,1744.4681943857136,
1,None,3,16,1890.5899850563496,
2,None,3,16,495.2106018706524,
1,None,3,17,1891.3274768300887,
0,None,3,17,1744.8702489026282,
2,None,3,17,495.56390623732364,
1,None,3,18,1891.8191153118878,
0,None,3,18,1745.1376358673472,
2,None,3,18,495.79921121917573,
1,None,3,1,1028.164084897412,
0,None,3,1,961.6075437664116,
2,None,3,1,104.09557270153411,
0,None,3,2,1094.7666841286207,
1,None,3,2,1217.8728687736948,
2,None,3,2,192.59926265112682,
1,None,3,3,1392.9643976431914,
0,None,3,3,1212.058652150186,
2,None,3,3,270.50712181389383,
1,None,3,4,1528.873908634765,
2,None,3,4,331.2526246584628,
0,None,3,4,1299.9713504943315,
0,None,3,5,1360.946624356191,
1,None,3,5,1621.9717862312946,
2,None,3,5,372.80779260553965,
1,None,3,6,1688.6080511383466,
2,None,3,6,401.39862298017863,
0,None,3,6,1402.2069180515734,
0,None,3,7,1422.166991497443,
2,None,3,7,420.8234919871378,
1,None,3,7,1731.7548144824073,
0,None,3,8,1441.0079121409253,
1,None,3,8,1768.359881509261,
2,None,3,8,433.94034748565,
0,None,3,9,1453.5513404303683,
1,None,3,9,1787.4972948771028,
2,None,3,9,442.76290052701154,
1,None,3,10,1798.679343898918,
0,None,3,10,1461.8613407416724,
2,None,3,10,448.6718843236203,
1,None,3,11,1810.3885368869446,
0,None,3,11,1467.3679808331885,
2,None,3,11,452.6371463608353,
0,None,3,12,1471.0222799303951,
1,None,3,12,1817.1203657459882,
2,None,3,12,455.2345976093514,
1,None,3,13,1821.369460188982,
2,None,3,13,456.9422350253901,
0,None,3,13,1473.4501347025953,
1,None,3,14,1824.1509188759526,
2,None,3,14,458.0682631119048,
0,None,3,14,1475.0645092887646,
